speaker,ground_truth_label,mean_gender_scale
BF1,Ambiguous,1.979847400241877
BF2,Ambiguous,2.2714663845601373
BF3,Black,1.878646329208029
BF4,Ambiguous,1.7898503680923568
BF5,Black,1.924467747948718
BF6,Ambiguous,3.5095905232062257
BF7,White,2.1882205108965516
BF8,Ambiguous,1.7690163792168285
BM1,Black,6.381939410155039
BM2,Black,5.974751675268212
BM3,Ambiguous,6.036487545828244
BM4,Black,6.375296812206667
BM5,Ambiguous,6.241990708920792
BM6,Ambiguous,6.105781401018315
BM7,Black,6.2066433740291265
BM8,Black,6.25349200302527
WF1,White,2.1422149055140185
WF2,White,1.7860846563916084
WF3,White,1.713696730871795
WF4,White,1.6392528727009064
WF5,White,1.7753565113851852
WF6,White,1.5782897672781457
WF7,White,1.7201261843602693
WF8,White,1.888969126790997
WM1,Ambiguous,6.1274573206503495
WM2,White,5.73656042794834
WM3,White,5.907122981349651
WM4,White,5.659174045424028
WM5,White,6.0033875787941176
WM6,White,5.710571414935714
WM7,White,6.134438704463722
WM8,White,6.2517252928125
NA,NA,NA
